category,name,red,green,blue,hex
pink,Pink,255,192,203,FFC0CB
pink,LightPink,255,182,193,FFB6C1
pink,HotPink,255,105,180,FF69B4
pink,DeepPink,255,20,147,FF1493
pink,PaleVioletRed,219,112,147,DB7093
pink,MediumVioletRed,199,21,133,C71585
red,LightSalmon,255,160,122,FFA07A
red,Salmon,250,128,114,FA8072
red,DarkSalmon,233,150,122,E9967A
red,LightCoral,240,128,128,F08080
red,IndianRed,205,92,92,CD5C5C
red,Crimson,220,20,60,DC143C
red,Firebrick,178,34,34,B22222
red,DarkRed,139,0,0,8B0000
red,Red,255,0,0,FF0000
orange,OrangeRed,255,69,0,FF4500
orange,Tomato,255,99,71,FF6347
orange,Coral,255,127,80,FF7F50
orange,DarkOrange,255,140,0,FF8C00
orange,Orange,255,165,0,FFA500
yellow,Yellow,255,255,0,FFFF00
yellow,LightYellow,255,255,224,FFFFE0
yellow,LemonChiffon,255,250,205,FFFACD
yellow,LightGoldenrodYellow,250,250,210,FAFAD2
yellow,PapayaWhip,255,239,213,FFEFD5
yellow,Moccasin,255,228,181,FFE4B5
yellow,PeachPuff,255,218,185,FFDAB9
yellow,PaleGoldenrod,238,232,170,EEE8AA
yellow,Khaki,240,230,140,F0E68C
yellow,DarkKhaki,189,183,107,BDB76B
yellow,Gold,255,215,0,FFD700
brown,Cornsilk,255,248,220,FFF8DC
brown,BlanchedAlmond,255,235,205,FFEBCD
brown,Bisque,255,228,196,FFE4C4
brown,NavajoWhite,255,222,173,FFDEAD
brown,Wheat,245,222,179,F5DEB3
brown,Burlywood,222,184,135,DEB887
brown,Tan,210,180,140,D2B48C
brown,RosyBrown,188,143,143,BC8F8F
brown,SandyBrown,244,164,96,F4A460
brown,Goldenrod,218,165,32,DAA520
brown,DarkGoldenrod,184,134,11,B8860B
brown,Peru,205,133,63,CD853F
brown,Chocolate,210,105,30,D2691E
brown,SaddleBrown,139,69,19,8B4513
brown,Sienna,160,82,45,A0522D
brown,Brown,165,42,42,A52A2A
brown,Maroon,128,0,0,800000
green,DarkOliveGreen,85,107,47,556B2F
green,Olive,128,128,0,808000
green,OliveDrab,107,142,35,6B8E23
green,YellowGreen,154,205,50,9ACD32
green,LimeGreen,50,205,50,32CD32
green,Lime,0,255,0,00FF00
green,LawnGreen,124,252,0,7CFC00
green,Chartreuse,127,255,0,7FFF00
green,GreenYellow,173,255,47,ADFF2F
green,SpringGreen,0,255,127,00FF7F
green,MediumSpringGreen,0,250,154,00FA9A
green,LightGreen,144,238,144,90EE90
green,PaleGreen,152,251,152,98FB98
green,DarkSeaGreen,143,188,143,8FBC8F
green,MediumAquamarine,102,205,170,66CDAA
green,MediumSeaGreen,60,179,113,3CB371
green,SeaGreen,46,139,87,2E8B57
green,ForestGreen,34,139,34,228B22
green,Green,0,128,0,008000
green,DarkGreen,0,100,0,006400
cyan,Aqua,0,255,255,00FFFF
cyan,Cyan,0,255,255,00FFFF
cyan,LightCyan,224,255,255,E0FFFF
cyan,PaleTurquoise,175,238,238,AFEEEE
cyan,Aquamarine,127,255,212,7FFFD4
cyan,Turquoise,64,224,208,40E0D0
cyan,MediumTurquoise,72,209,204,48D1CC
cyan,DarkTurquoise,0,206,209,00CED1
cyan,LightSeaGreen,32,178,170,20B2AA
cyan,CadetBlue,95,158,160,5F9EA0
cyan,DarkCyan,0,139,139,008B8B
cyan,Teal,0,128,128,008080
blue,LightSteelBlue,176,196,222,B0C4DE
blue,PowderBlue,176,224,230,B0E0E6
blue,LightBlue,173,216,230,ADD8E6
blue,SkyBlue,135,206,235,87CEEB
blue,LightSkyBlue,135,206,250,87CEFA
blue,DeepSkyBlue,0,191,255,00BFFF
blue,DodgerBlue,30,144,255,1E90FF
blue,CornflowerBlue,100,149,237,6495ED
blue,SteelBlue,70,130,180,4682B4
blue,RoyalBlue,65,105,225,4169E1
blue,Blue,0,0,255,0000FF
blue,MediumBlue,0,0,205,0000CD
blue,DarkBlue,0,0,139,00008B
blue,Navy,0,0,128,000080
blue,MidnightBlue,25,25,112,191970
purple,Lavender,230,230,250,E6E6FA
purple,Thistle,216,191,216,D8BFD8
purple,Plum,221,160,221,DDA0DD
purple,Violet,238,130,238,EE82EE
purple,Orchid,218,112,214,DA70D6
purple,Fuchsia,255,0,255,FF00FF
purple,Magenta,255,0,255,FF00FF
purple,MediumOrchid,186,85,211,BA55D3
purple,MediumPurple,147,112,219,9370DB
purple,BlueViolet,138,43,226,8A2BE2
purple,DarkViolet,148,0,211,9400D3
purple,DarkOrchid,153,50,204,9932CC
purple,DarkMagenta,139,0,139,8B008B
purple,Purple,128,0,128,800080
purple,Indigo,75,0,130,4B0082
purple,DarkSlateBlue,72,61,139,483D8B
purple,SlateBlue,106,90,205,6A5ACD
purple,MediumSlateBlue,123,104,238,7B68EE
white,White,255,255,255,FFFFFF
white,Snow,255,250,250,FFFAFA
white,Honeydew,240,255,240,F0FFF0
white,MintCream,245,255,250,F5FFFA
white,Azure,240,255,255,F0FFFF
white,AliceBlue,240,248,255,F0F8FF
white,GhostWhite,248,248,255,F8F8FF
white,WhiteSmoke,245,245,245,F5F5F5
white,Seashell,255,245,238,FFF5EE
white,Beige,245,245,220,F5F5DC
white,OldLace,253,245,230,FDF5E6
white,FloralWhite,255,250,240,FFFAF0
white,Ivory,255,255,240,FFFFF0
white,AntiqueWhite,250,235,215,FAEBD7
white,Linen,250,240,230,FAF0E6
white,LavenderBlush,255,240,245,FFF0F5
white,MistyRose,255,228,225,FFE4E1
gray,Gainsboro,220,220,220,DCDCDC
gray,LightGray,211,211,211,D3D3D3
gray,Silver,192,192,192,C0C0C0
gray,DarkGray,169,169,169,A9A9A9
gray,Gray,128,128,128,808080
gray,DimGray,105,105,105,696969
gray,LightSlateGray,119,136,153,778899
gray,SlateGray,112,128,144,708090
gray,DarkSlateGray,47,79,79,2F4F4F
gray,Black,0,0,0,000000
